event_time,event_phase
2019-09-05T07:09:18Z,3
2019-09-05T07:11:46Z,3
2019-09-05T07:14:26Z,3
2019-09-05T07:16:30Z,3
2019-09-05T07:17:36Z,2
2019-09-05T07:20:22Z,3
2019-09-05T07:21:30Z,3
2019-09-05T07:22:28Z,3
2019-09-05T07:23:26Z,1
2019-09-05T07:26:29Z,3
2019-09-05T07:26:50Z,1
2019-09-05T07:27:30Z,3
2019-09-05T07:29:25Z,3
2019-09-05T07:30:13Z,1
2019-09-05T07:30:44Z,3
2019-09-05T07:32:12Z,3
2019-09-05T07:33:38Z,3
2019-09-05T07:35:11Z,3
2019-09-05T07:35:56Z,1
2019-09-05T07:52:01Z,3
2019-09-05T07:54:51Z,2
2019-09-05T08:00:41Z,3
2019-09-05T08:06:40Z,3
2019-09-05T08:07:59Z,3
2019-09-05T08:08:49Z,3
2019-09-05T08:11:54Z,3
2019-09-05T08:13:24Z,3
2019-09-05T08:17:35Z,3
2019-09-05T08:19:46Z,3
2019-09-05T08:28:54Z,3
2019-09-05T08:30:47Z,3
2019-09-05T08:32:21Z,2
2019-09-05T08:33:54Z,3
2019-09-05T08:36:05Z,3
2019-09-05T08:39:47Z,3
2019-09-05T08:41:18Z,3
2019-09-05T08:41:47Z,2
2019-09-05T08:41:48Z,3
2019-09-05T08:43:22Z,3
2019-09-05T08:43:50Z,3
2019-09-05T08:52:15Z,3
2019-09-05T09:01:26Z,3
2019-09-05T09:05:08Z,3
2019-09-05T09:09:29Z,2
2019-09-05T09:10:32Z,3
2019-09-05T09:21:01Z,3
2019-09-05T09:22:50Z,3
2019-09-05T09:23:18Z,3
2019-09-05T09:23:43Z,3
2019-09-05T09:24:08Z,3
2019-09-05T09:24:34Z,3
2019-09-05T09:25:23Z,3
2019-09-05T09:25:48Z,3
2019-09-05T09:27:27Z,3
2019-09-05T09:27:52Z,3
2019-09-05T09:28:16Z,3
2019-09-05T09:29:04Z,3
2019-09-05T09:31:36Z,3
2019-09-05T09:40:48Z,3
2019-09-05T09:47:39Z,2
2019-09-05T10:00:52Z,3
2019-09-05T10:02:34Z,3
2019-09-05T10:04:17Z,3
2019-09-05T10:04:43Z,3
2019-09-05T10:05:08Z,3
2019-09-05T10:05:49Z,3
2019-09-05T10:07:55Z,3
2019-09-05T10:08:20Z,3
2019-09-05T10:10:00Z,3
2019-09-05T10:11:20Z,1
2019-09-05T10:11:32Z,3
2019-09-05T10:24:01Z,3
2019-09-05T10:25:03Z,2
2019-09-05T10:28:08Z,3
2019-09-05T10:30:29Z,3
2019-09-05T10:35:38Z,3
2019-09-05T10:37:07Z,3
2019-09-05T10:38:48Z,3
2019-09-05T10:45:49Z,3
2019-09-05T10:53:29Z,3
2019-09-05T10:54:09Z,3
2019-09-05T10:55:42Z,3
2019-09-05T10:57:20Z,3
2019-09-05T11:00:33Z,3
2019-09-05T11:02:32Z,2
2019-09-05T11:05:27Z,3
2019-09-05T11:09:15Z,3
2019-09-05T11:11:09Z,2
2019-09-05T11:17:28Z,3
2019-09-05T11:18:59Z,3
2019-09-05T11:20:05Z,3
2019-09-05T11:23:33Z,3
2019-09-05T11:30:35Z,3
2019-09-05T11:33:10Z,3
2019-09-05T11:37:18Z,3
2019-09-05T11:39:48Z,3
2019-09-05T11:39:51Z,2
2019-09-05T12:05:57Z,3
2019-09-05T12:08:22Z,3
2019-09-05T12:10:19Z,3
2019-09-05T12:12:42Z,3
2019-09-05T12:17:53Z,2
2019-09-05T12:23:15Z,3
2019-09-05T12:23:41Z,3
2019-09-05T12:24:17Z,3
2019-09-05T12:25:26Z,3
2019-09-05T12:26:10Z,3
2019-09-05T12:26:36Z,3
2019-09-05T12:27:16Z,3
2019-09-05T12:32:13Z,3
2019-09-05T12:34:37Z,3
2019-09-05T12:35:17Z,3
2019-09-05T12:44:40Z,3
2019-09-05T12:46:27Z,3
2019-09-05T12:55:30Z,3
2019-09-05T12:55:32Z,2
2019-09-05T13:01:16Z,3
